collected_at_utc,source,source_url,attribution,rate_type,origin,destination,lane,region,weight_break_kg,chargeable_kg,currency,usd_per_kg_min,usd_per_kg_max,usd_per_kg_mid,total_min_usd,total_max_usd,transit_min_days,transit_max_days,num_quotes,status,error,source_as_of
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Los Angeles,Shenzhen-Los Angeles,China-USA,,,USD,5.5,5.5,5.5,,,14.0,14.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Manzanillo,Shenzhen-Manzanillo,China-Mexico,,,USD,6.0,6.0,6.0,,,22.0,22.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,New York,Shenzhen-New York,China-USA,,,USD,6.5,6.5,6.5,,,28.0,28.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Nhava Sheva (Mumbai),Shenzhen-Nhava Sheva (Mumbai),China-India,,,USD,3.5,3.5,3.5,,,14.0,14.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Rotterdam,Shenzhen-Rotterdam,China-Netherlands,,,USD,4.8,4.8,4.8,,,30.0,30.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Santos,Shenzhen-Santos,China-Brazil,,,USD,7.2,7.2,7.2,,,38.0,38.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Singapore,Shenzhen-Singapore,China-Singapore,,,USD,3.2,3.2,3.2,,,7.0,7.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Sydney,Shenzhen-Sydney,China-Australia,,,USD,4.2,4.2,4.2,,,18.0,18.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Tokyo,Shenzhen-Tokyo,China-Japan,,,USD,2.5,2.5,2.5,,,5.0,5.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Vancouver,Shenzhen-Vancouver,China-Canada,,,USD,5.8,5.8,5.8,,,15.0,15.0,1,ok,,2026-07-24
2026-08-27T16:03:29.205647+00:00,shaq_sfx,https://search.shaq-logistics.com/api/freight-index,"SHAQ Freight Rate Index (SFX), SHAQ Logistics",forwarder_index,Shenzhen,Vostochny,Shenzhen-Vostochny,China-Russia,,,USD,3.5,3.5,3.5,,,6.0,6.0,1,ok,,2026-07-24
2026-08-27T16:03:29.972957+00:00,drewry_public_page,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/airfreight-index,Drewry public Airfreight Price Index page (marketing snapshot),public_composite,GLOBAL,GLOBAL,GLOBAL-COMPOSITE,global,1000.0,1000.0,USD,3.93,3.93,3.93,,,,,1,ok,,
2026-08-27T16:33:56.444253+00:00,freightos_shipping_calculator,https://ship.freightos.com/api/shippingCalculator,Data courtesy Freightos — https://www.freightos.com,marketplace_estimate,BOM,DXB,BOM-DXB,India-ME,300.0,300.0,USD,,,,,,,,0,rate_limited,429 Too Many Requests,
